source_document,source_page,source_url,program_name_raw,program_name_standardized,mapping_type,fiscal_year,metric_type,amount,raw_value,metric_context
2023-24_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2023-09/2223-SA-Fees-Memo.pdf,ASC Book Fund,ASC Book Fund,same,2022-23,allocation,3000.0,"$3,000.00",
2023-24_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2023-09/2223-SA-Fees-Memo.pdf,"Equity, Diversity, Inclusion, and Community","Accessibility, Community, & Opportunity",renamed_or_reorganized,2022-23,allocation,11500.0,"$11,500.00",
2023-24_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2023-09/2223-SA-Fees-Memo.pdf,Associated Student Council,Associated Student Council,same,2022-23,allocation,56953.0,"$56,953.00",
2023-24_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2023-09/2223-SA-Fees-Memo.pdf,Bruce Mckenna Writing Center,Bruce McKenna Writing Center,spelling_variant,2022-23,allocation,56039.01,"$56,039.01",
2023-24_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2023-09/2223-SA-Fees-Memo.pdf,Cultural Programming & Development (CAB),Cultural Programming & Development (CAB),same,2022-23,allocation,116767.0,"$116,767.00",
2023-24_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2023-09/2223-SA-Fees-Memo.pdf,Emergency Fund,Emergency Fund,same,2022-23,allocation,25000.0,"$25,000.00",
2023-24_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2023-09/2223-SA-Fees-Memo.pdf,Info Central,Information Central,renamed_or_relabelled,2022-23,allocation,157950.76,"$157,950.76",
2023-24_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2023-09/2223-SA-Fees-Memo.pdf,Leadership & Orientation Training,Leadership & Orientation Training,same,2022-23,allocation,12600.0,"$12,600.00",
2023-24_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2023-09/2223-SA-Fees-Memo.pdf,Learning Support Network,Learning Support Network,same,2022-23,allocation,419159.0,"$419,159.00",
2023-24_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2023-09/2223-SA-Fees-Memo.pdf,M. Rosetta Hunter Art Gallary,M. Rosetta Hunter Art Gallery,spelling_variant,2022-23,allocation,57513.12,"$57,513.12",
