source_document,source_page,source_url,program_name_raw,allocation_2023_24_raw,request_2024_25_raw,allocation_2024_25_raw
2024-25_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2025-01/2024-25%20Student%20Services%20and%20Activities%20Fees%20Memo.pdf,ASC Book Fund,"$2,000.00",$0.00,"$2,000.00"
2024-25_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2025-01/2024-25%20Student%20Services%20and%20Activities%20Fees%20Memo.pdf,Associated Student Council,"$64,539.00","$93,159.58","$93,159.58"
2024-25_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2025-01/2024-25%20Student%20Services%20and%20Activities%20Fees%20Memo.pdf,Cultural Programming & Development (CAB),"$116,767.00","$122,613.11","$128,841.99"
2024-25_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2025-01/2024-25%20Student%20Services%20and%20Activities%20Fees%20Memo.pdf,Emergency Fund,"$25,000.00",$0.00,"$25,000.00"
2024-25_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2025-01/2024-25%20Student%20Services%20and%20Activities%20Fees%20Memo.pdf,"Equity, Diversity, Inclusion, and Community","$9,000.00",$0.00,"$9,076.80"
2024-25_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2025-01/2024-25%20Student%20Services%20and%20Activities%20Fees%20Memo.pdf,Info Central,"$157,950.00","$191,489.40","$195,205.32"
2024-25_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2025-01/2024-25%20Student%20Services%20and%20Activities%20Fees%20Memo.pdf,Leadership & Orientation Training,"$16,384.00",$0.00,"$16,384.00"
2024-25_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2025-01/2024-25%20Student%20Services%20and%20Activities%20Fees%20Memo.pdf,Learning Support Network,"$470,430.25","$473,391.87","$473,391.87"
2024-25_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2025-01/2024-25%20Student%20Services%20and%20Activities%20Fees%20Memo.pdf,M. Rosetta Hunter Art Gallery,"$57,513.00","$65,282.72","$58,513.79"
2024-25_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2025-01/2024-25%20Student%20Services%20and%20Activities%20Fees%20Memo.pdf,Office Management,"$74,824.00","$132,111.01","$85,967.23"
2024-25_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2025-01/2024-25%20Student%20Services%20and%20Activities%20Fees%20Memo.pdf,Child Assist Program,"$20,000.00",$0.00,"$20,000.00"
2024-25_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2025-01/2024-25%20Student%20Services%20and%20Activities%20Fees%20Memo.pdf,Phi Theta Kappa,"$35,000.00",$0.00,"$36,047.71"
2024-25_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2025-01/2024-25%20Student%20Services%20and%20Activities%20Fees%20Memo.pdf,Services & Activities Fees Committee,"$7,500.00","$24,131.32","$24,131.32"
2024-25_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2025-01/2024-25%20Student%20Services%20and%20Activities%20Fees%20Memo.pdf,Seattle Collegian,"$52,073.00","$79,142.00","$79,142.00"
2024-25_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2025-01/2024-25%20Student%20Services%20and%20Activities%20Fees%20Memo.pdf,Student Organization Hub,"$120,002.63","$123,000.00","$127,811.35"
2024-25_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2025-01/2024-25%20Student%20Services%20and%20Activities%20Fees%20Memo.pdf,Student Resource Support,"$139,203.30",$0.00,"$139,203.30"
2024-25_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2025-01/2024-25%20Student%20Services%20and%20Activities%20Fees%20Memo.pdf,Student Leadership Program,"$140,985.00","$169,417.55","$169,417.55"
2024-25_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2025-01/2024-25%20Student%20Services%20and%20Activities%20Fees%20Memo.pdf,Student Engagement,$0.00,$0.00,"$45,714.70"
2024-25_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2025-01/2024-25%20Student%20Services%20and%20Activities%20Fees%20Memo.pdf,Wood Technology Center,"$4,000.00","$28,860.00","$4,000.00"
2024-25_sa_fee_memo.pdf,3,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2025-01/2024-25%20Student%20Services%20and%20Activities%20Fees%20Memo.pdf,Total,"$1,513,171.18","$1,502,598.56","$1,733,008.51"
