source_document,source_page,source_url,program_name_raw,allocation_2023_24_raw,allocation_2024_25_raw,request_2025_26_raw,allocation_2025_26_raw
2025-26_sa_budget_summary.pdf,1,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2026-02/FY26_S%26A_Budget%20Summary_Final.pdf,AANAPISI,$0.00,$0.00,"$44,220.15","$36,630.28"
2025-26_sa_budget_summary.pdf,1,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2026-02/FY26_S%26A_Budget%20Summary_Final.pdf,ASC Book Fund,"$2,000.00","$2,000.00","$3,000.00",$0.00
2025-26_sa_budget_summary.pdf,1,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2026-02/FY26_S%26A_Budget%20Summary_Final.pdf,Associated Student Council,"$64,539.00","$93,159.58","$116,663.00","$96,748.00"
2025-26_sa_budget_summary.pdf,1,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2026-02/FY26_S%26A_Budget%20Summary_Final.pdf,"Child Assist Program [combined in
SSP]","$20,000.00","$20,000.00",$0.00,--
2025-26_sa_budget_summary.pdf,1,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2026-02/FY26_S%26A_Budget%20Summary_Final.pdf,"Cultural Programming & Development
(CAB)","$116,767.00","$128,841.99","$149,238.00","$148,650.92"
2025-26_sa_budget_summary.pdf,1,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2026-02/FY26_S%26A_Budget%20Summary_Final.pdf,Emergency Fund,"$25,000.00","$25,000.00","$50,000.00","$50,000"
2025-26_sa_budget_summary.pdf,1,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2026-02/FY26_S%26A_Budget%20Summary_Final.pdf,First Year Experience Peer Mentors,$0.00,$0.00,"$57,000.00","$20,314.25"
2025-26_sa_budget_summary.pdf,1,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2026-02/FY26_S%26A_Budget%20Summary_Final.pdf,"Accessibility, Community, &
Opportunity","$9,000.00","$9,076.80","$11,700.00","$10,700.00"
2025-26_sa_budget_summary.pdf,1,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2026-02/FY26_S%26A_Budget%20Summary_Final.pdf,Food and Resource Pantry,$0.00,$0.00,"$15,000.00","$30,000"
2025-26_sa_budget_summary.pdf,1,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2026-02/FY26_S%26A_Budget%20Summary_Final.pdf,Information Central,"$157,950.00","$195,205.32","$238,402.00","$186,282.00"
2025-26_sa_budget_summary.pdf,1,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2026-02/FY26_S%26A_Budget%20Summary_Final.pdf,Leadership & Orientation Training,"$16,384.00","$16,384.00","$20,000.00","$14,581.76"
2025-26_sa_budget_summary.pdf,1,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2026-02/FY26_S%26A_Budget%20Summary_Final.pdf,Learning Support Network,"$470,430.25","$473,391.87","$503,767.04","$477,762.58"
2025-26_sa_budget_summary.pdf,2,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2026-02/FY26_S%26A_Budget%20Summary_Final.pdf,M. Rosetta Hunter Art Gallery,"$57,513.00","$58,513.79","$94,729.09","$77,930.27"
2025-26_sa_budget_summary.pdf,2,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2026-02/FY26_S%26A_Budget%20Summary_Final.pdf,Office Management,"$74,824.00","$85,967.23","$78,093.62","$89,492.00"
2025-26_sa_budget_summary.pdf,2,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2026-02/FY26_S%26A_Budget%20Summary_Final.pdf,Phi Theta Kappa,"$35,000.00","$36,047.71","$58,035.85","$42,435.85"
2025-26_sa_budget_summary.pdf,2,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2026-02/FY26_S%26A_Budget%20Summary_Final.pdf,Services & Activities Fees Committee,"$7,500.00","$24,131.32","$7,600.00","$7,867.10"
2025-26_sa_budget_summary.pdf,2,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2026-02/FY26_S%26A_Budget%20Summary_Final.pdf,Student Leadership Program,"$140,985.00","$169,417.55","$220,539.00","$186,665.23"
2025-26_sa_budget_summary.pdf,2,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2026-02/FY26_S%26A_Budget%20Summary_Final.pdf,Student Engagement,$0.00,"$45,714.70",$0.00,$0.00
2025-26_sa_budget_summary.pdf,2,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2026-02/FY26_S%26A_Budget%20Summary_Final.pdf,Student Organization Hub,"$120,002.63","$127,811.35","$136,123.00","$134,474.20"
2025-26_sa_budget_summary.pdf,2,https://studentleadership.seattlecentral.edu/sites/studentleadership.seattlecentral.edu/files/2026-02/FY26_S%26A_Budget%20Summary_Final.pdf,"Student Resource Support [combined
in SSP]","$139,203.30","$139,203.30",$0.00,--
